date,open,high,low,close,volume,factor
2024-07-04,34.0,35.44,33.63,34.09,331117.0,1.0
2024-07-05,33.99,34.19,32.21,33.68,327296.0,1.0
2024-07-08,33.8,34.54,33.35,33.88,237257.0,1.0
2024-07-09,34.06,38.3,33.82,38.28,479274.0,1.0
2024-07-10,38.0,39.99,37.94,39.69,436646.0,1.0
2024-07-11,39.69,39.7,37.45,38.68,420949.0,1.0
2024-07-12,37.56,40.99,36.81,39.06,466578.0,1.0
2024-07-15,38.99,39.75,37.69,38.95,310014.0,1.0
2024-07-16,38.8,42.29,38.7,41.65,447317.0,1.0
2024-07-17,41.0,41.51,39.2,39.5,331117.0,1.0
2024-07-18,38.4,39.38,36.52,38.74,425898.0,1.0
2024-07-19,38.0,38.35,37.14,37.4,265531.0,1.0
2024-07-22,37.5,40.65,37.41,39.81,391258.0,1.0
2024-07-23,40.08,41.6,39.71,39.88,386960.0,1.0
2024-07-24,39.88,43.82,39.88,41.18,419964.0,1.0
2024-07-25,39.77,40.5,37.98,38.35,398012.0,1.0
2024-07-26,38.61,39.3,37.79,38.58,285305.0,1.0
2024-07-29,38.39,40.92,37.39,39.47,329867.0,1.0
2024-07-30,39.9,40.07,37.8,38.74,246654.0,1.0
2024-07-31,38.08,39.49,35.8,38.55,489589.0,1.0
2024-08-01,39.66,40.28,37.88,38.32,330291.0,1.0
2024-08-02,36.52,37.2,33.75,34.6,792921.0,1.0
2024-08-05,33.6,33.6,30.38,30.62,627306.0,1.0
2024-08-06,32.02,32.94,31.32,31.81,394836.0,1.0
2024-08-07,31.34,32.12,30.55,30.9,305888.0,1.0
2024-08-08,29.85,30.78,29.73,30.11,312011.0,1.0
2024-08-09,31.28,32.37,30.89,31.68,427377.0,1.0
2024-08-12,31.68,33.55,31.68,32.93,376225.0,1.0
2024-08-13,33.25,35.47,33.14,34.59,458646.0,1.0
2024-08-14,35.2,35.47,33.58,33.66,406334.0,1.0
2024-08-15,33.54,34.35,33.31,33.6,253439.0,1.0
2024-08-16,34.56,35.59,34.22,34.59,398535.0,1.0
2024-08-19,34.13,35.7,33.86,34.68,320427.0,1.0
2024-08-20,35.0,35.58,33.86,34.2,243351.0,1.0
2024-08-21,33.8,35.23,33.69,34.5,224007.0,1.0
2024-08-22,34.43,34.7,33.33,34.31,203984.0,1.0
2024-08-23,34.0,34.2,33.2,33.54,172769.0,1.0
2024-08-26,33.89,34.25,32.93,33.3,166436.0,1.0
2024-08-27,33.01,33.65,32.69,32.86,138652.0,1.0
2024-08-28,33.07,34.46,33.07,33.56,187788.0,1.0
2024-08-29,31.62,33.3,30.5,32.88,366041.0,1.0
2024-08-30,32.35,34.5,32.35,33.82,352212.0,1.0
2024-09-02,34.02,34.55,31.21,31.8,389088.0,1.0
